prd_oph_main_hier_d_v_OPH,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/System outliers/Pivotal Tables/
gl_cost_center_hier,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Approved Spotfire Information Links/Data Tables/
srv_sr_activty_cds_dtl_f_v,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Service Suite/Approved Column Elements/
inv_gems_mmicv_itm_cst_f,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Service Request/Columns/
item_master_d,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Service Request/Columns/
srv_sr_tpfr_metrcs_f_v,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Service Suite/Reliability/TPFR/Column Elements/
CL_CDS_OPH_PRD_MAIN_HIER_D_V,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Project X Reliability/Columns/
gl_cost_center_country_hier,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Project X Reliability/Columns/
CL_IFR_IB_INCOMING,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Project-X CTS/Metadata/Columns/
CL_IFR_IB_OUTGOING,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Project-X CTS/Metadata/Columns/
ifr_snapshot_ib_data,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Project-X CTS/Metadata/Columns/
ifr_snapshot_sr_data,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Project-X CTS/Metadata/Columns/
ifr_snapshot_summ_data_new,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Project-X CTS/Metadata/Columns/
CL_IFR_SR_INCOMING,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Project-X CTS/Metadata/Columns/
CL_IFR_SR_OUTGOING,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Project-X CTS/Metadata/Columns/
srv_sr_activty_cds_summ_f_v,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Service Suite/Approved Column Elements/
srv_sr_activty_cds_dtl_f_sdo,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Service Suite/Approved Column Elements/
CL_SRV_SR_ACTIVTY_CDS_SUMM_F_V,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Project-X CTS/Metadata/Columns/
Columns,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Approved Spotfire Information Links/Data Tables/Headcount/
CL_ASSET_SWAP_VIEW,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Project X Reliability/Columns/
